Row.names,Trophoblasts,Stromal,Hofbauer,Endothelial,nRBC,Syncytiotrophoblast,CellType_PC1,CellType_PC2,CellType_PC3,CellType_PC4,CellType_PC5,Sample_Name,sample_id,Predicted_Sex
203541510042_R01C01_PLAC,0.020440318,0,0,0.025601276,0.012860356,0.94109805,2.132141686,-1.906813309,0.198540361,0.261585834,0.022774379,5778_CRDPL,5778,Female
203541510042_R03C01_PLAC,0,0.00730137,0.016082008,0.012478486,0.024115795,0.940022342,-5.159500917,-0.108896528,-0.403252042,-1.81289699,-3.132498711,5625_CRDPL,5625,Male
203541510042_R08C01_PLAC,0.213149792,0,0.001246065,0.027948926,0.003653959,0.754001258,3.428367972,0.987649314,1.097888015,-0.64230617,-0.128362277,0117_CRDPL,117,Male
203541510063_R02C01_PLAC,0.035700785,0,0,0.021168223,0.009940777,0.933190215,2.680034143,-1.682850584,0.161500282,0.024552535,0.013999157,5631_CRDPL,5631,Male
203541510063_R07C01_PLAC,0.016079776,0,0.011272452,0.02499557,0.032644308,0.915007894,-0.097093195,1.763918126,0.096414457,0.517722241,0.021801044,5773_CRDPL,5773,Female
203541510067_R02C01_PLAC,0.072824003,0,0,0,0.013161882,0.914014115,3.546773745,-0.031387787,-4.277256408,-1.68130992,-0.070057392,5650_CRDPL,5650,Male
203541510067_R04C01_PLAC,0.054914484,0,0.005588269,0.040900996,0.033110914,0.865485337,1.23222643,1.349206305,0.339386354,0.768982449,-0.001587125,5642_CRDPL,5642,Female
203541510067_R06C01_PLAC,0.065936385,0,0.09726358,0.00685079,0.121891641,0.708057605,0.164732636,4.060453993,-1.542321778,0.880129674,-0.140771102,0108_crdpl,108,Female
203541510142_R02C01_PLAC,0.019242618,0,0,0.004122975,0.01455548,0.962078926,2.150602716,-1.431544107,-1.298002286,-0.305139868,0.01283936,5376_CRDPL,5376,Female
203541510142_R05C01_PLAC,0,0.018507879,0.018738178,0.004775998,0.014224568,0.943753377,-5.185691288,0.102813943,-0.939384188,-2.914763475,-3.820783955,0007_crdpl,7,Male
203541510142_R07C01_PLAC,0.017142512,0,0.003457874,0,0.023970333,0.95542928,0.760885956,2.445569573,-4.206001739,-1.569581696,-0.035626975,5335_pl-pilot,5335,Male
203541510143_R02C01_PLAC,0.009256879,0,0.011962589,0.024759196,0.032208379,0.921812957,-0.601244186,1.691054895,0.136958275,0.502716859,0.02291182,5930_CRDPL,5930,Male
203541510143_R03C01_PLAC,0.033258441,0.010085402,0.005334324,0.012221831,0.005598163,0.933501839,0.619600558,0.465310923,-0.097019046,-2.887319582,-3.353734263,5879_CRDPL,5879,Female
203541510143_R06C01_PLAC,0.057631166,1.94E-04,0.001680912,0.015226522,0.005633943,0.919633509,1.963191706,0.650838927,0.33901861,-1.156180723,-0.785254808,5039_CRDPL,5039,Female
203541510144_R03C01_PLAC,0.035773206,0,0.011156689,0.03447839,0.02636374,0.892227975,0.634232584,1.886354889,0.423057994,0.495356657,0.011273833,6035_crdpl,6035,Female
203541510144_R05C01_PLAC,0.036546173,0,0.011597317,0.02560798,0.010159824,0.916088706,0.823365768,2.155011855,0.736305922,-0.252180742,0.010577898,5775_CRDPL,5775,Female
203541510144_R08C01_PLAC,0.035054101,0,0,0.033573562,0.002988684,0.928383654,2.855206231,-1.622746836,1.208765183,-0.590325729,-0.001159236,6053_crdpl,6053,Male
203541510145_R05C01_PLAC,0,0.025286084,0.007332596,9.06E-04,0,0.966475133,-3.871652761,0.513691329,0.564393751,-6.833133199,-4.131131594,0128_CRDPL,128,Male
203541510146_R02C01_PLAC,0.032933771,0,0.007007455,0.030467,0.012665093,0.916926681,0.877735384,1.639519402,0.707545824,-0.007567244,0.015805292,5448_CRDPL,5448,Female
203541510146_R04C01_PLAC,0.029481508,0,0.012804786,0.02200012,0,0.935713586,1.446600982,2.985142042,3.318023031,-3.384758331,-0.050089807,5675_CRDPL,5675,Male
203541510146_R07C01_PLAC,0.004759095,0,0.005126194,0.015514219,0.005066238,0.969534254,-0.498618686,1.279888787,0.790687739,-0.827989927,0.01689076,0110_CRDPL,110,Female
203541510147_R03C01_PLAC,0.015877169,0.033695414,0,0.049601521,0,0.900825896,2.056755765,-3.03151878,2.894471684,-5.265231755,-4.300800885,0015_crdpl,15,Female
